rider_name,velocategory,veloscore,zwift_id,team,team_color,team_bg,stage1_time,stage1_veloscore,stage1_velocategory,stage2_time,stage2_veloscore,stage2_velocategory,stage3_time,stage3_veloscore,stage3_velocategory,stage4_time,stage4_veloscore,stage4_velocategory,stage5_time,stage5_veloscore,stage5_velocategory,gc_time
Sebastian Borquez,6,1161,355659,-,00dd00,,00:40:40,1161,6,-,-,-,-,-,-,-,-,-,-,-,-,00:40:40
John Pearce,7,1099,2750716,TBG,f50202,04e765,00:41:27,1099,7,-,-,-,-,-,-,-,-,-,-,-,-,00:41:27
Andrew Lowrie,6,1209,5523173,-,00dd00,,00:42:30,1209,6,-,-,-,-,-,-,-,-,-,-,-,-,00:42:30
Magnus Morel,9,731,6455483,-,00dd00,,00:44:58,731,9,-,-,-,-,-,-,-,-,-,-,-,-,00:44:58
Andy Morton (TNP),8,894,1475359,Team Not Pogi,ff0000,ffffff,00:41:36,900,8,01:01:29,896,8,00:23:28,901,8,01:54:43,894,8,-,-,-,04:01:16
Philip Gill,9,653,7963870,-,00dd00,,00:45:14,653,9,-,-,-,-,-,-,-,-,-,-,-,-,00:45:14
Gert Segers [WATT],1,2684,1028135,The Watt Squad,efbf04,161617,00:32:25,2684,1,-,-,-,-,-,-,-,-,-,-,-,-,00:32:25
Michael Mansfield,1,3075,25864,Team CRYO-GEN,ffffff,009fe3,00:32:25,3075,1,-,-,-,-,-,-,-,-,-,-,-,-,00:32:25
Christopher Keogh [eSRT],1,2962,4980720,eSRT,40bad1,000000,00:32:27,2965,1,00:48:56,2965,1,-,-,-,01:14:10,2962,1,-,-,-,02:35:33
Kevin Hodges | NeXT pb Enshored,1,2532,590093,NeXT pb ENSH,133f5e,87ceeb,00:32:42,2532,1,-,-,-,-,-,-,-,-,-,-,-,-,00:32:42
Wilson [GTR E-Racing],1,2613,323637,GTR E-Racing,ff009a,003286,00:32:44,2613,1,-,-,-,-,-,-,-,-,-,-,-,-,00:32:44
David Johnson,1,2279,478958,Team Not Pogi,ff0000,ffffff,00:33:02,2302,1,00:48:58,2280,1,00:16:45,2289,1,01:26:43,2279,1,-,-,-,03:05:28
Peru Reyzabal,1,2488,7327056,HISP,ff0055,00ffc3,00:33:09,2285,1,00:46:32,2298,1,-,-,-,01:11:57,2488,1,-,-,-,02:31:38
BEHE Peter Gilmore,2,2038,2765354,DIRT,29ec34,211208,00:33:32,2038,2,-,-,-,-,-,-,-,-,-,-,-,-,00:33:32
Kevin Plasmans,2,2168,2966589,ZWB Cycling,b68d40,003b49,00:33:33,2168,2,-,-,-,-,-,-,-,-,-,-,-,-,00:33:33
Peter Van Win [WATT],1,2334,256592,The Watt Squad,efbf04,161617,00:33:33,2334,1,-,-,-,-,-,-,-,-,-,-,-,-,00:33:33
